availability, basedUpon, checkSum, fileName, fileSize, isForced, name, requires, system, type, url, version
forDeliveringThroughApi, , D5541181157B9C8DB75023B8F5BD11A2, BMW_ISPI_ISTA-META_SDP_4.10.30.xml, 1102, False, BMW_ISPI_ISTA-META_SDP_4.10.30, , ISTA Launcher, 1, http://127.0.0.1, 4.10.30
forDeliveringThroughApi, , 8E4766A196792C51F34563F1489C6056, BMW_ISPI_ISTA-META_SDP_4.10.42b.xml, 1920, False, BMW_ISPI_ISTA-META_SDP_4.10.42b, , ISTA Launcher, 1, http://127.0.0.1, 4.10.42b
forDeliveringThroughApi, , 533E4F95E74A4AACFCD7BBE2D5775528, BMW_ISPI_ISTA-P_SYS_3.64.0.600.exe, 21986872, False, ISTA-P, , ISTA P, 1, http://127.0.0.1, 64.0.600
forDeliveringThroughApi, , C42C749363A3A7517C4DD9AC93716579, BMW_ISPI_ISTA-P_DAT_3.64.0.600.istap, 80533608171, False, ISTA-P_DAT, , ISTA P, 1, http://127.0.0.1, 64.0.600
forDeliveringThroughApi, , 4F9593BBF9823CA4017B805F34C88379, BMW_ISPI_TRAC_ISPA-server_10.20.0.0.msi, 410144930, False, ISPA Server, , ISPA Server, 1, http://127.0.0.1, 10.20.0.0
forDeliveringThroughApi, , 8A3C8CA3F8E086CEE2772955F838EBAF, BMW_ISPI_TRAC_ISPA-server_10.21.0.0.msi, 410149025, False, ISPA Server, , ISPA Server, 1, http://127.0.0.1, 10.21.0.0
forDeliveringThroughApi, , 56B0431395B4ED20F58C5CB63C103141, BMW_ISPI_TRAC_KeyReader_4.6.0.0.msi, 4161536, False, KeyReader, , KeyReader, 1, http://127.0.0.1, 4.6.0.0
forDeliveringThroughApi, , 24F63BAFF699C380EA360369706082CC, KeyReaderPlus.USB.Driver_01.01.0000.exe, 6379941, False, KeyReader, , KeyReader, 1, http://127.0.0.1, 01.01.0000
forDeliveringThroughApi, , 0289782F0B08B66538D795014DCB5D11, BMW_ISPI_ISTA-LAUNCHER_1.15.7.727.exe, 85394160, False, BMW_ISPI_ISTA-LAUNCHER_1.15.7.727, , ISTA Launcher, 1, http://127.0.0.1, 1.15.7.727
forDeliveringThroughApi, , ED381732D7177CA15DDB5C2F5F1E5E0F, BMW_ISPI_iLean_ISPI_Admin_Client_6.0.8.225.msi, 7929856, False, ISPI Admin Client, , Admin Client, 1, http://127.0.0.1, 6.0.8.225
forDeliveringThroughApi, , 5B57D3602E61EF6A11EDC4D225D82B0D, BMW_ISPI_ISTA-BLP_4.11.11.istapackage, 1013311266, False, BMW_ISPI_ISTA-BLP_4.11.11, , ISTA SDP, 2, http://127.0.0.1, 4.11.11
forDeliveringThroughApi, , 94D4FF8E03F132E510D14DA5125D5411, BMW_ISPI_ISTA-BLP_4.11.20.istapackage, 1013944624, False, BMW_ISPI_ISTA-BLP_4.11.20, , ISTA SDP, 2, http://127.0.0.1, 4.11.20
forDeliveringThroughApi, , 0F4A7A71D67B579D0D936483A3D212F8, BMW_ISPI_ISTA-DATA_de-DE_4.11.21.istapackage, 1537845686, False, BMW_ISPI_ISTA-DATA_de-DE_4.11.21, , ISTA NF, 1, http://127.0.0.1, 4.11.21
forDeliveringThroughApi, , E5074C51DA8EC46FC728E530BC6D9D34, BMW_ISPI_ISTA-DATA_en-GB_4.11.21.istapackage, 1544966742, False, BMW_ISPI_ISTA-DATA_en-GB_4.11.21, , ISTA NF, 1, http://127.0.0.1, 4.11.21
forDeliveringThroughApi, , 174B1E8C35C34FE1F5CAAA1E563A3F04, BMW_ISPI_ISTA-DATA_GLOBAL_4.11.21.istapackage, 14354049312, False, BMW_ISPI_ISTA-DATA_GLOBAL_4.11.21, , ISTA NF, 1, http://127.0.0.1, 4.11.21
forDeliveringThroughApi, , 2C63051F347F054E38475DFF47110EBC, BMW_ISPI_ISTA-META_4.11.22.xml, 9092, False, BMW_ISPI_ISTA-META_4.11.22, , ISTA Launcher, 1, http://127.0.0.1, 4.11.22
forDeliveringThroughApi, , 7CC141F2F09DC4B3A927631D23F5B49E, BMW_ISPI_ISTA-META_SDP_4.11.11.xml, 1111, False, BMW_ISPI_ISTA-META_SDP_4.11.11, , ISTA Launcher, 1, http://127.0.0.1, 4.11.11
forDeliveringThroughApi, , 41379D38F7886A303E55C3FA60B9531B, BMW_ISPI_ISTA-META_SDP_4.11.20.xml, 1108, False, BMW_ISPI_ISTA-META_SDP_4.11.20, , ISTA Launcher, 1, http://127.0.0.1, 4.11.20
forDeliveringThroughApi, , 0A50246D1788BFD29B25147E9E864CE1, BMW_ISPI_ISTA_DELTA-SDP_4.11.11.istapackage, 464341989, False, BMW_ISPI_ISTA_DELTA-SDP_4.11.11, , ISTA SDP, 1, http://127.0.0.1, 4.11.11
forDeliveringThroughApi, , 3430BB0B8DBF918B3F96D764BFDB0A42, BMW_ISPI_ISTA_DELTA-SDP_4.11.20.istapackage, 162779379, False, BMW_ISPI_ISTA_DELTA-SDP_4.11.20, , ISTA SDP, 1, http://127.0.0.1, 4.11.20
forDeliveringThroughApi, , 39DEDA3A69188568EBAB851C987AF11A, BMW_ISPI_ISTA-APP_4.11.22.15994.msi, 524402688, False, BMW_ISPI_ISTA-APP_4.11.22.15994, , ISTA NF, 1, http://127.0.0.1, 4.11.22.15994
forDeliveringThroughApi, , EE086097890DD9A8282044F86C97A318, BMW_ISPI_ISTA-META_4.12.14.xml, 9096, False, BMW_ISPI_ISTA-META_4.12.14, , ISTA Launcher, 1, http://127.0.0.1, 4.12.14
forDeliveringThroughApi, , 947C7F41F65670CC6E3DF287C4DAF757, BMW_ISPI_ISTA-APP_4.12.12.16370.msi, 531947520, False, BMW_ISPI_ISTA-APP_4.12.12.16370, , ISTA NF, 1, http://127.0.0.1, 4.12.12.16370
forDeliveringThroughApi, , 82F770D22B9336D05564596CEF3B4D6F, BMW_ISPI_ISTA-BLP_4.12.12.istapackage, 1045081763, False, BMW_ISPI_ISTA-BLP_4.12.12, , ISTA SDP, 2, http://127.0.0.1, 4.12.12
forDeliveringThroughApi, , 1C9398DCCB461FE43CAB5DFBCD559302, BMW_ISPI_ISTA_DELTA-SDP_4.12.12.istapackage, 851716318, False, BMW_ISPI_ISTA_DELTA-SDP_4.12.12, , ISTA SDP, 1, http://127.0.0.1, 4.12.12
forDeliveringThroughApi, , 60C32BB3FD16969E4E780A9C871CD77A, BMW_ISPI_ISTA-META_SDP_4.12.12.xml, 1111, False, BMW_ISPI_ISTA-META_SDP_4.12.12, , ISTA Launcher, 1, http://127.0.0.1, 4.12.12
forDeliveringThroughApi, , 3AAFEC61CBD2832B9858354E580185B5, BMW_ISPI_ISTA_DELTA-SDP_4.12.11.istapackage, 247730670, False, BMW_ISPI_ISTA_DELTA-SDP_4.12.11, , ISTA SDP, 1, http://127.0.0.1, 4.12.11
forDeliveringThroughApi, , DAF3FD08D9B6274823D2CB4130C70535, BMW_ISPI_ISTA-META_SDP_4.12.11a.xml, 2544, False, BMW_ISPI_ISTA-META_SDP_4.12.11a, , ISTA Launcher, 1, http://127.0.0.1, 4.12.11a
